GAME_DATE,METRIC_TYPE,METRIC_VALUE,TEAM_ID,TEAM_NAME
2026-01-09,TEAM,0.48717948717948717,1610612757.0,Portland Trail Blazers
2026-01-09,TEAM,0.6,1610612745.0,Houston Rockets
2026-01-09,TEAM,0.5526315789473685,1610612743.0,Denver Nuggets
2026-01-09,TEAM,0.575,1610612737.0,Atlanta Hawks
2026-01-09,TEAM,0.6842105263157895,1610612763.0,Memphis Grizzlies
2026-01-09,TEAM,0.8421052631578947,1610612760.0,Oklahoma City Thunder
2026-01-09,TEAM,0.6,1610612751.0,Brooklyn Nets
2026-01-09,TEAM,0.6486486486486487,1610612746.0,LA Clippers
2026-01-09,TEAM,0.6486486486486487,1610612738.0,Boston Celtics
2026-01-09,TEAM,0.5897435897435898,1610612761.0,Toronto Raptors
2026-01-09,TEAM,0.6486486486486487,1610612764.0,Washington Wizards
2026-01-09,TEAM,0.725,1610612740.0,New Orleans Pelicans
2026-01-10,TEAM,0.6923076923076923,1610612754.0,Indiana Pacers
2026-01-10,TEAM,0.5789473684210527,1610612748.0,Miami Heat
2026-01-10,TEAM,0.5263157894736842,1610612741.0,Chicago Bulls
2026-01-10,TEAM,0.5526315789473685,1610612742.0,Dallas Mavericks
2026-01-10,TEAM,0.631578947368421,1610612738.0,Boston Celtics
2026-01-10,TEAM,0.6216216216216216,1610612759.0,San Antonio Spurs
2026-01-10,TEAM,0.6,1610612739.0,Cleveland Cavaliers
2026-01-10,TEAM,0.6666666666666666,1610612750.0,Minnesota Timberwolves
2026-01-10,TEAM,0.6842105263157895,1610612762.0,Utah Jazz
2026-01-10,TEAM,0.5384615384615384,1610612766.0,Charlotte Hornets
2026-01-10,TEAM,0.5675675675675675,1610612765.0,Detroit Pistons
2026-01-10,TEAM,0.631578947368421,1610612746.0,LA Clippers
2026-01-11,TEAM,0.5641025641025641,1610612753.0,Orlando Magic
2026-01-11,TEAM,0.7317073170731707,1610612740.0,New Orleans Pelicans
2026-01-11,TEAM,0.6666666666666666,1610612763.0,Memphis Grizzlies
2026-01-11,TEAM,0.5833333333333334,1610612751.0,Brooklyn Nets
2026-01-11,TEAM,0.5641025641025641,1610612743.0,Denver Nuggets
2026-01-11,TEAM,0.6153846153846154,1610612749.0,Milwaukee Bucks
2026-01-11,TEAM,0.475,1610612757.0,Portland Trail Blazers
2026-01-11,TEAM,0.7894736842105263,1610612752.0,New York Knicks
2026-01-11,TEAM,0.7948717948717948,1610612758.0,Sacramento Kings
2026-01-11,TEAM,0.5833333333333334,1610612745.0,Houston Rockets
2026-01-11,TEAM,0.6,1610612761.0,Toronto Raptors
2026-01-11,TEAM,0.7297297297297297,1610612755.0,Philadelphia 76ers
2026-01-11,TEAM,0.5897435897435898,1610612756.0,Phoenix Suns
2026-01-11,TEAM,0.6578947368421053,1610612764.0,Washington Wizards
2026-01-11,TEAM,0.6,1610612744.0,Golden State Warriors
2026-01-11,TEAM,0.5609756097560976,1610612737.0,Atlanta Hawks
2026-01-11,TEAM,0.675,1610612750.0,Minnesota Timberwolves
2026-01-11,TEAM,0.631578947368421,1610612759.0,San Antonio Spurs
2026-01-11,TEAM,0.8461538461538461,1610612760.0,Oklahoma City Thunder
2026-01-11,TEAM,0.5897435897435898,1610612748.0,Miami Heat
2026-01-12,TEAM,0.5853658536585366,1610612761.0,Toronto Raptors
2026-01-12,TEAM,0.7105263157894737,1610612755.0,Philadelphia 76ers
2026-01-12,TEAM,0.5853658536585366,1610612739.0,Cleveland Cavaliers
2026-01-12,TEAM,0.6666666666666666,1610612762.0,Utah Jazz
2026-01-12,TEAM,0.5641025641025641,1610612742.0,Dallas Mavericks
2026-01-12,TEAM,0.5945945945945946,1610612751.0,Brooklyn Nets
2026-01-12,TEAM,0.675,1610612754.0,Indiana Pacers
2026-01-12,TEAM,0.6153846153846154,1610612738.0,Boston Celtics
2026-01-12,TEAM,0.775,1610612758.0,Sacramento Kings
2026-01-12,TEAM,0.5675675675675675,1610612747.0,Los Angeles Lakers
2026-01-12,TEAM,0.6410256410256411,1610612746.0,LA Clippers
2026-01-12,TEAM,0.55,1610612766.0,Charlotte Hornets
2026-01-13,TEAM,0.7380952380952381,1610612740.0,New Orleans Pelicans
2026-01-13,TEAM,0.575,1610612743.0,Denver Nuggets
